questID,questName,englishQuestName,
313,地狱火,Hellfire,
314,凶暴地狱火,Violent Hellfire ,
315,天火王者降临,King of Nature Fire Coming,
321,天生的狩猎专家,Natural Hunting Expert ,
322,魔药试炼师,Potions Maker,
323,无尽勇气,Endless Courage ,
324,死神,Death,
325,深海死神,Death of Deep Sea,
331,天生的刺客大师,Natural Assassin ,
332,夜梦的盗贼,Dream Thieves,
333,刺客作战会,Assassin Fighting Match,
334,九魔头,Devil of Nine Head,
335,不死九魔头,Immortal Devil ,
341,天生的战场护卫,Natural Battlefield Guardian ,
342,新娘的泪水,The Bride's Tears,
343,护卫忠诚心,Loyal of Guardian,
344,魔骑士,Warrior Mage ,
345,嗜血魔骑士,Bloodthirsty Warrior Mage ,
351,天生的绅士守卫,Natural Gentleman Guardian,
352,女仆碎碎念,Nagging Maid,
353,守卫服从心,Obedience of Guardian,
354,愤怒化身,Angry Incarnation ,
355,愤怒原爆点,Anger of Original,
361,天生的东方神犬,Magic Dog of Orient,
362,魔法见习期中考,Magic Apprentice Midterm ,
363,神犬敌对心,God hostile dog heart ,
364,獠牙恶鬼,Fangs of Evil,
365,恐怖地狱牙,King of Earth Coming ,
371,猛兽角斗场,Beast arena ,
372,临时统一战线,Temporary United Front,
373,嗜血回忆录,Bloodthirsty Memoir,
374,灾祸狂怒,Furor of Disaster ,
375,獠牙下的血口,Fangs with Blood,
411,烈焰地狱,Flames of Hell,
412,嚣张的小鬼,Arrogance of Imp,
413,撕咬三重奏,Bite Trio ,
414,管家的怒火,Anger of Butler,
415,熔岩地狱,Lava of Hell,
421,深海漩涡,Deep Whirlpool,
422,烦人的跳蚤,Annoying Flea,
423,狩猎三重奏,Hunting Trio ,
424,沸腾的药剂,Boiling Pharmacy ,
425,死亡缠绕,Death Coil ,
431,潜伏的多头怪,Latent Monster with Multi-Head,
432,史莱姆重生,Reborn of Slime,
433,暗杀三重奏,Assassination Trio,
434,偷梦的缘由,Reason to Steal Dream ,
435,魔蛇狂袭,Magic snake Kuangxi ,
441,骑士的野心,Knight's Ambition,
442,稻草人之计,Scarecrow's Scheme,
443,血战的忠诚,Bloody Loyalty ,
444,冰冷的心脏,Frozen Heart ,
445,腥风血雨,Reign of Terror,
451,愤怒的起源,The Origin of Anger,
452,幽灵徘徊,Ghost Wandering ,
453,死战的服从,Obedience to Fight Death ,
454,女仆暴动,The Maid Riots ,
455,通天怒吼,Babel Roar ,
461,暴走的獠牙,Trudge of Fangs,
462,爱唬人的怪石头,Bluffing of Strange Stone ,
463,神犬怒嚎,Magic Dog’s Howl,
464,魔法见习期末考,Exam for Magic Apprentice,
465,无坚不摧,Invulnerable,
471,猛兽护城队,Beast Allende team ,
472,无头骑士的诡计,Ricky from Headless Rider,
473,猛兽攻城队,Beast siege team ,
474,一反常态的魔女,Uncharacteristically witch ,
475,地狱狂屠,Massacre in Hell,
511,红兔子特攻队,Red Rabbit Commandos ,
512,小鬼的火气,Anger from Imp,
513,比特犬再袭,Pitbull Terrier’s Attack,
514,管家拿手活,Housekeeper’s Specialty,
515,炸弹魔,Magic Bomb,
521,蓝兔子特攻队,Blue Rabbit Commandos ,
522,跳蚤的动力源,Power of Flea,
523,杜高犬再袭,Dogo Argentino’s Attack,
524,药罐大爆炸,Explosion of Gallipot,
525,冰雪亡灵,Souls of Ice,
531,绿兔子特攻队,Green Rabbit Commandos ,
532,不屈的史莱姆,Unyielding Slime ,
533,土佐犬再袭,Tosa’s Attack,
534,万千梦境,Thousands of Dreams ,
535,死亡芭蕾,Death from Ballet ,
541,黄兔子特攻队,Yellow Rabbit Commandos ,
542,求心的稻草人,Scarecrow Seeking Heart,
543,猎豹突袭,Cheetah’s Pounce ,
544,新娘大暴走,Bride Go Ballistic,
545,闪电十字斩,Lightning Cut ,
551,紫兔子特攻队,Purple Rabbit Commandos ,
552,尖啸的幽灵,Wailing Ghost ,
553,暗夜毒针,Poison in Night,
554,女仆的黑暗面,The Gloom of the Maid ,
555,千年军团,Legion on Millennium,
561,灰兔子特攻队,Gray Rabbit Commandos ,
562,飞翔的怪石,Unusual Flying Rocks ,
563,狼人乱舞,Werewolf Flurry ,
564,魔法见习演练场,Magic Apprentice Training Place,
565,无头催魂曲,Remind Sound of Soul,
571,卷土重来的兔子,Rabbit Comeback ,
572,下级恶魔的反击,Devil's Counterattack,
573,猪突猛进三倍速,Boar’s Sudden Strike,
574,狂暴飞猴,Monkey’s Rampage ,
575,女仆大卧底,Undercover Maid,
